domain_key,domain_name,description,priority
foundations,Foundations of Economic Systems,"Core architecture of production distribution exchange labor property finance and provisioning.",1
microeconomics,Microeconomics Markets and Everyday Coordination,"Households firms incentives markets public goods externalities and information.",1
labor_care,Labor Work Care and Social Reproduction,"Labor markets wages care work social reproduction unions precarity and automation.",1
finance_macro,Capital Investment Money and Finance,"Capital money banking credit leverage macroeconomic stability inflation and crisis.",1
development,Development Growth and Structural Transformation,"Growth industrial policy trade debt development structural change and global asymmetry.",1
welfare_inequality,Inequality Welfare Capability and Social Protection,"Poverty capability redistribution social protection public goods and opportunity.",1
institutions,Institutions Property Capitalism Socialism and Mixed Economies,"Property rights capitalism socialism planning regulation public finance and political economy.",1
ecological,Ecological Economics Circularity and Planetary Limits,"Natural capital circular economy climate economics post-growth and planetary boundaries.",1
measurement,Measurement Indicators and Evaluation Beyond GDP,"GDP national accounts well-being indicators natural capital accounts and resilience metrics.",1
future, Economic Resilience Risk and Future Systems,"Economic resilience AI automation supply chains climate risk and future systems.",2
