tradition_key,tradition_name,core_focus,priority
classical_political_economy,Classical Political Economy,"Production distribution surplus land labor capital trade and political order.",1
neoclassical,Neoclassical Economics,"Marginal choice equilibrium utility prices allocation and optimization.",1
keynesian,Keynesian and Post-Keynesian Economics,"Demand uncertainty expectations unemployment investment coordination and stabilization.",1
institutional,Institutional Economics,"Markets as embedded in legal cultural organizational and political structures.",1
marxian,Critical and Marxian Political Economy,"Class conflict accumulation exploitation commodification crisis and power.",1
development,Development Economics,"Industrialization poverty structural transformation infrastructure and state capacity.",1
welfare_capability,Welfare Economics and Capability Approaches,"Social welfare public goods efficiency capability and substantive freedom.",1
ecological,Ecological Economics,"Economy as subsystem of biosphere throughput scale limits and ecological stability.",1
feminist,Feminist Economics,"Care work social reproduction gendered labor and household production.",1
behavioral_complexity,Behavioral Evolutionary and Complexity Economics,"Bounded rationality innovation networks nonlinearity path dependence and emergence.",1
